,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
104774,Viet Tri,20,11,5,ESE,0.1,71,43,1017,2013-01-14,Bắc,Lạnh
104775,Viet Tri,21,9,4,ENE,0.0,61,2,1024,2014-01-14,Bắc,Lạnh
104776,Viet Tri,24,12,4,ESE,0.0,62,0,1023,2015-01-14,Bắc,Lạnh
104777,Viet Tri,19,15,8,E,6.6,88,99,1016,2016-01-14,Bắc,Mây
104778,Viet Tri,18,13,4,ENE,0.0,75,73,1017,2017-01-14,Bắc,Lạnh
104779,Viet Tri,20,11,7,SW,0.0,61,75,1021,2018-01-14,Bắc,Lạnh
104780,Viet Tri,22,20,12,ESE,0.8,87,93,1015,2019-01-14,Bắc,Mây
104781,Viet Tri,26,19,9,E,2.2,80,92,1014,2020-01-14,Bắc,Lạnh
104782,Viet Tri,23,12,5,SSE,0.0,49,11,1017,2021-01-14,Bắc,Lạnh
104783,Viet Tri,21,14,4,SE,1.6,91,76,1017,2009-01-05,Bắc,Mây
104784,Viet Tri,30,17,4,SE,0.1,79,36,1010,2010-01-05,Bắc,Nắng
104785,Viet Tri,19,12,4,ENE,0.1,78,69,1017,2011-01-05,Bắc,Lạnh
104786,Viet Tri,12,7,4,ESE,1.2,78,74,1023,2012-01-05,Bắc,Lạnh
104787,Viet Tri,15,9,5,NE,0.4,72,62,1017,2013-01-05,Bắc,Lạnh
104788,Viet Tri,22,12,7,SE,0.0,68,16,1015,2014-01-05,Bắc,Lạnh
104789,Viet Tri,25,17,6,SE,0.7,82,56,1010,2015-01-05,Bắc,Mây
104790,Viet Tri,29,15,4,SE,0.1,71,29,1015,2016-01-05,Bắc,Lạnh
104791,Viet Tri,22,19,5,WNW,0.5,81,95,1016,2017-01-05,Bắc,Mây
104792,Viet Tri,23,18,8,SE,4.0,89,98,1013,2018-01-05,Bắc,Mây
104793,Viet Tri,23,13,6,S,0.0,76,36,1021,2019-01-05,Bắc,Lạnh
104794,Viet Tri,22,20,16,ESE,1.4,83,97,1017,2020-01-05,Bắc,Mây
104795,Viet Tri,21,15,7,SSE,0.0,57,66,1020,2021-01-05,Bắc,Lạnh
104796,Viet Tri,23,10,3,SW,0.0,52,2,1024,2009-01-16,Bắc,Lạnh
104797,Viet Tri,19,14,6,ENE,4.4,85,79,1025,2010-01-16,Bắc,Mây
104798,Viet Tri,17,7,5,E,0.0,49,16,1023,2011-01-16,Bắc,Lạnh
104799,Viet Tri,21,15,7,ESE,1.3,81,58,1011,2012-01-16,Bắc,Mây
104800,Viet Tri,22,15,4,E,2.3,80,87,1019,2013-01-16,Bắc,Lạnh
104801,Viet Tri,20,9,4,SE,0.0,64,8,1022,2014-01-16,Bắc,Lạnh
