,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
127514,Phan Thiet,30,21,14,ENE,0.0,73,12,1012,2020-01-16,Trung,Nắng
127515,Phan Thiet,26,20,12,ENE,0.0,79,12,1011,2021-01-16,Trung,Lạnh
127516,Phan Thiet,24,22,15,NE,7.6,86,77,1012,2009-01-03,Trung,Mây
127517,Phan Thiet,31,25,16,ENE,0.0,67,25,1011,2010-01-03,Trung,Nắng
127518,Phan Thiet,31,21,12,E,0.2,72,26,1010,2011-01-03,Trung,Nắng
127519,Phan Thiet,28,22,15,ENE,0.0,76,6,1012,2012-01-03,Trung,Gió
127520,Phan Thiet,31,23,15,ENE,0.7,70,31,1012,2013-01-03,Trung,Nắng
127521,Phan Thiet,29,20,8,E,0.0,79,15,1012,2014-01-03,Trung,Lạnh
127522,Phan Thiet,31,22,12,NE,0.0,71,24,1012,2015-01-03,Trung,Nắng
127523,Phan Thiet,32,22,11,ENE,3.4,78,32,1015,2016-01-03,Trung,Nắng
127524,Phan Thiet,32,22,17,ENE,0.0,66,17,1011,2017-01-03,Trung,Nắng
127525,Phan Thiet,32,22,13,ENE,0.0,67,16,1009,2018-01-03,Trung,Nắng
127526,Phan Thiet,28,24,29,ENE,0.9,77,53,1014,2019-01-03,Trung,Gió
127527,Phan Thiet,30,21,23,ENE,0.0,70,9,1014,2020-01-03,Trung,Nắng
127528,Phan Thiet,28,23,15,ENE,0.0,75,37,1011,2021-01-03,Trung,Gió
127529,Phan Thiet,28,21,15,ENE,0.0,68,10,1014,2009-01-17,Trung,Lạnh
127530,Phan Thiet,31,23,14,NE,0.0,65,35,1015,2010-01-17,Trung,Nắng
127531,Phan Thiet,29,20,12,NE,0.0,66,5,1012,2011-01-17,Trung,Lạnh
127532,Phan Thiet,30,22,11,ENE,0.6,82,30,1008,2012-01-17,Trung,Nắng
127533,Phan Thiet,31,21,14,NE,0.0,63,17,1013,2013-01-17,Trung,Nắng
127534,Phan Thiet,29,19,14,NE,0.0,65,15,1015,2014-01-17,Trung,Lạnh
127535,Phan Thiet,31,19,16,NE,0.0,65,18,1014,2015-01-17,Trung,Nắng
127536,Phan Thiet,32,23,7,E,0.0,79,6,1010,2016-01-17,Trung,Nắng
