,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
36618,Thai Nguyen,20,10,9,NNE,0.0,48,3,1026,2014-01-21,Bắc,Lạnh
36619,Thai Nguyen,24,14,5,ESE,0.0,64,23,1022,2015-01-21,Bắc,Lạnh
36620,Thai Nguyen,20,16,8,E,0.5,79,92,1016,2016-01-21,Bắc,Lạnh
36621,Thai Nguyen,17,14,9,NE,0.5,76,90,1026,2017-01-21,Bắc,Lạnh
36622,Thai Nguyen,25,18,4,SE,3.5,84,63,1013,2018-01-21,Bắc,Mây
36623,Thai Nguyen,16,14,9,NNE,4.1,71,95,1024,2019-01-21,Bắc,Lạnh
36624,Thai Nguyen,23,17,5,ESE,0.5,85,93,1019,2020-01-21,Bắc,Mây
36625,Thai Nguyen,22,15,3,SSW,0.1,76,81,1015,2021-01-21,Bắc,Lạnh
36626,Thai Nguyen,23,15,8,SSE,0.6,85,64,1015,2009-01-19,Bắc,Mây
36627,Thai Nguyen,25,12,6,SSE,0.0,81,5,1018,2010-01-19,Bắc,Lạnh
36628,Thai Nguyen,17,9,7,NE,0.0,70,65,1018,2011-01-19,Bắc,Lạnh
36629,Thai Nguyen,26,20,7,SE,3.5,87,62,1011,2012-01-19,Bắc,Mây
36630,Thai Nguyen,19,12,4,ESE,0.2,78,79,1020,2013-01-19,Bắc,Lạnh
36631,Thai Nguyen,22,10,6,ESE,0.0,55,1,1024,2014-01-19,Bắc,Lạnh
36632,Thai Nguyen,22,11,6,E,0.0,59,8,1022,2015-01-19,Bắc,Lạnh
36633,Thai Nguyen,20,15,8,ENE,0.0,65,91,1018,2016-01-19,Bắc,Lạnh
36634,Thai Nguyen,20,17,6,E,0.6,86,86,1020,2017-01-19,Bắc,Mây
36635,Thai Nguyen,26,18,6,SE,0.2,71,37,1017,2018-01-19,Bắc,Lạnh
36636,Thai Nguyen,23,16,4,ESE,0.5,81,85,1018,2019-01-19,Bắc,Mây
36637,Thai Nguyen,15,11,6,NNE,4.2,88,100,1019,2020-01-19,Bắc,Mây
36638,Thai Nguyen,22,11,7,SSE,0.0,58,6,1018,2021-01-19,Bắc,Lạnh
36639,Thai Nguyen,24,15,7,SE,0.4,85,58,1014,2009-01-20,Bắc,Mây
36640,Thai Nguyen,24,15,3,ESE,3.1,89,76,1018,2010-01-20,Bắc,Mây
36641,Thai Nguyen,16,9,9,NE,0.6,73,76,1018,2011-01-20,Bắc,Lạnh
36642,Thai Nguyen,24,20,9,SE,3.3,90,75,1012,2012-01-20,Bắc,Mây
36643,Thai Nguyen,23,16,5,SSE,1.1,84,69,1017,2013-01-20,Bắc,Mây
36644,Thai Nguyen,21,10,8,ESE,0.0,60,14,1026,2014-01-20,Bắc,Lạnh
36645,Thai Nguyen,23,13,7,SE,0.0,67,15,1020,2015-01-20,Bắc,Lạnh
36646,Thai Nguyen,23,16,6,E,0.4,74,82,1017,2016-01-20,Bắc,Lạnh
36647,Thai Nguyen,18,14,10,ENE,0.3,76,96,1023,2017-01-20,Bắc,Lạnh
36648,Thai Nguyen,22,17,5,ESE,0.5,84,58,1015,2018-01-20,Bắc,Mây
36649,Thai Nguyen,23,17,6,ENE,1.4,84,88,1019,2019-01-20,Bắc,Mây
36650,Thai Nguyen,16,11,3,ENE,0.3,80,100,1020,2020-01-20,Bắc,Lạnh
